Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1783836057,139922418,43,1,1,0,0,1.25
1783836058,139922189,29,0,0,0,0,0
1783836059,139930608,31,0,0,0,0,0.75
1783836060,139920954,38,0,0,0,0,0.5
1783836061,139923781,30,0,0,0,0,0.5
1783836062,139922553,23,0,0,0,0,0.5
1783836063,139950177,27,0,0,0,0,0.75
1783836064,139922931,33,0,0,0,0,0.5
1783836065,139919149,42,1,1,0,0,0.5
1783836066,139956218,51,1,1,0,0,0.25
1783836067,139922695,49,0,1,0,0,0.5
1783836068,139924284,34,0,0,0,0,0.75
1783836069,139923910,41,0,0,0,0,0.5
1783836070,139924295,37,1,1,0,0,0.5
1783836071,139923755,37,0,0,0,0,1
1783836072,139924530,34,0,0,0,0,0.75
1783836073,139926491,36,0,0,0,0,0.5
1783836074,139923341,34,0,0,0,0,0.75
1783836075,139955968,28,0,0,0,0,0.75
1783836076,139918041,36,0,0,0,0,0.5
1783836077,139930873,32,0,0,0,0,0.75
1783836078,139927927,26,0,0,0,0,0.5
1783836079,139926445,34,0,0,0,0,1.49
1783836080,139920612,33,0,0,0,0,0.5
1783836081,139964907,28,0,0,0,0,0.25
1783836082,139958259,35,0,0,0,0,1
1783836083,139922797,32,0,0,0,0,0.75
1783836084,139922816,35,0,0,0,0,0.5
1783836085,139923521,29,1,1,0,0,1
1783836086,139921245,12,0,0,0,0,0.5
1783836087,139922802,25,2,2,0,0,0.5
1783836088,139917267,32,0,0,0,0,0.25
1783836089,139922658,26,0,0,0,0,0.5
1783836090,139953086,40,0,0,0,0,0.75
1783836091,139922644,30,0,0,0,0,0
1783836092,139921795,28,2,2,0,0,1
1783836093,139948502,28,1,1,0,0,0.5
1783836094,139985654,25,1,1,0,0,0.25
1783836095,139921528,41,1,1,0,0,0.5
1783836096,139923162,28,0,0,0,0,0.5
1783836097,139923537,37,0,0,0,0,1
1783836098,139922449,42,0,1,0,0,0.5
1783836099,139921491,40,0,0,0,0,0.75
1783836100,139924663,28,0,0,0,0,0.5
1783836101,139918428,32,0,0,0,0,0.5
1783836102,139918119,33,1,1,0,0,0.5
1783836103,139918884,25,0,0,0,0,0.25
1783836104,139922113,28,0,0,0,0,0.25
1783836105,139930879,40,0,0,0,0,1
1783836106,139956237,39,1,1,0,0,0.5
1783836107,139921615,28,2,2,0,0,0.25
1783836108,139923234,27,0,0,0,0,0.75
1783836109,139950019,44,0,1,0,0,0.5
1783836110,139923194,25,0,0,0,0,0.5
1783836111,139955888,24,0,0,0,0,0.5
1783836112,139922415,30,1,1,0,0,0.5
1783836113,139922127,34,2,2,0,0,0.5
1783836114,139923396,27,1,1,0,0,0.5
1783836115,139923350,29,0,0,0,0,0.5
1783836116,139923674,28,0,0,0,0,0.25
